disease,year,age,country,country_name,cohort_size,cases,dalys,deaths
HepB,2000,0,RFP,Request for Proposal,4788460.708790707,63591.39904697686,3853.027810228917,69.29964186895042
HepB,2001,0,RFP,Request for Proposal,4942007.606027572,65539.111058965,3969.8294159200523,71.39408799194656
HepB,2002,0,RFP,Request for Proposal,5086189.934194548,67284.99852680558,4079.237869768616,73.3495355904236
HepB,2003,0,RFP,Request for Proposal,5218897.271173282,68764.72878104124,4180.450968503986,75.15245278514111
HepB,2004,0,RFP,Request for Proposal,5339079.746743789,70034.24418054767,4273.567153163519,76.80694951811084
HepB,2005,0,RFP,Request for Proposal,5473016.121226272,70908.21229446953,4432.765199910588,77.38592581578415
HepB,2006,0,RFP,Request for Proposal,5617835.15292754,70444.90501837176,4332.38967907076,75.62963221057467
HepB,2007,0,RFP,Request for Proposal,5760135.555064873,68629.05508651868,4140.7713590623625,72.28352488189323
HepB,2008,0,RFP,Request for Proposal,5916565.0305921445,64812.86608090738,3907.859297255105,68.22114735161031
HepB,2009,0,RFP,Request for Proposal,6067199.046707918,60299.38529099759,3630.314904360758,63.38016043413898
HepB,2010,0,RFP,Request for Proposal,6197851.433362038,55196.25375362352,3385.108469824418,57.79506292445771
HepB,2011,0,RFP,Request for Proposal,6327734.088981325,54057.202695318156,3235.5027077813334,55.24131832087625
HepB,2012,0,RFP,Request for Proposal,6440453.359641933,53262.48055838108,3145.708528330623,53.70588560462252
HepB,2013,0,RFP,Request for Proposal,6526715.274572163,52306.287552341324,3080.9315991713224,52.5954009268558
HepB,2014,0,RFP,Request for Proposal,6614321.585949437,51657.646472711516,3015.8982380052344,51.48245114133995
HepB,2015,0,RFP,Request for Proposal,6706030.632076034,51092.270037561146,2999.802148940877,50.574292876189155
HepB,2016,0,RFP,Request for Proposal,6809384.987458835,50338.54819463818,2914.486570290311,49.13723471830364
HepB,2017,0,RFP,Request for Proposal,6924316.61812832,48965.55996115167,2766.063510413183,46.6394015240563
HepB,2018,0,RFP,Request for Proposal,7032891.139891386,44821.39499114113,2627.8496298851387,44.3123596258585
HepB,2019,0,RFP,Request for Proposal,7141230.5639983155,40810.74660201004,2505.115803480448,42.24548973625982
HepB,2020,0,RFP,Request for Proposal,7249948.6464401595,39671.83248444124,2423.5923844171266,40.33958278048144
HepB,2021,0,RFP,Request for Proposal,7360591.55375082,38668.17542809406,2324.299529384563,38.68873785206278
