disease,year,age,country,country_name,cohort_size,cases,dalys,deaths
HepB,2000,0,RFP,Request for Proposal,4788460.708790707,63591.39904697686,3853.027810228917,69.29964186895042
HepB,2001,0,RFP,Request for Proposal,4942007.606027572,65539.111058965,3969.8294159200523,71.39408799194656
HepB,2002,0,RFP,Request for Proposal,5086189.934194548,67284.99852680558,4079.237869768616,73.3495355904236
HepB,2003,0,RFP,Request for Proposal,5218897.271173282,68764.72878104124,4180.450968503986,75.15245278514111
HepB,2004,0,RFP,Request for Proposal,5339079.746743789,70034.24418054767,4273.567153163519,76.80694951811084
HepB,2005,0,RFP,Request for Proposal,5473015.902030681,71641.06064294706,4508.1020495615985,78.69906142760087
HepB,2006,0,RFP,Request for Proposal,5617832.470173255,73324.44130949196,4628.2866743651875,80.78696976969742
HepB,2007,0,RFP,Request for Proposal,5760126.874773214,75030.84912266943,4748.612189700245,82.87741399827635
HepB,2008,0,RFP,Request for Proposal,5916545.926283267,77030.86516693574,4882.653756612823,85.21041415584088
HepB,2009,0,RFP,Request for Proposal,6067165.826554829,78823.6466060361,5014.041230152987,87.49584216540264
HepB,2010,0,RFP,Request for Proposal,6197799.680299376,80361.68729677459,5246.719436186538,89.52046866304548
HepB,2011,0,RFP,Request for Proposal,6327661.8237682255,81972.50990112657,5366.912725278071,91.5633917052704
HepB,2012,0,RFP,Request for Proposal,6440361.052337372,83221.36028110668,5474.912903621068,93.39672071940556
HepB,2013,0,RFP,Request for Proposal,6526604.473186704,84135.20180689258,5561.983150065255,94.87091512821624
HepB,2014,0,RFP,Request for Proposal,6614193.475134186,85181.912318411,5649.495187144531,96.35570424915565
HepB,2015,0,RFP,Request for Proposal,6705886.1720114285,86260.79886504577,5810.280586427488,97.8715545371081
HepB,2016,0,RFP,Request for Proposal,6809224.839885715,87617.09849640704,5908.312911370837,99.52159148456597
HepB,2017,0,RFP,Request for Proposal,6924140.206960285,89059.68607397813,6013.542543668983,101.2951015898887
HepB,2018,0,RFP,Request for Proposal,7032697.963021016,90386.64049930853,6109.844356948588,102.91690298110773
HepB,2019,0,RFP,Request for Proposal,7141020.419760332,91680.96751091757,6201.672645511666,104.46311438701522
HepB,2020,0,RFP,Request for Proposal,7249721.594338413,92932.83039576167,6372.132997026805,105.93441660117976
HepB,2021,0,RFP,Request for Proposal,7360347.86100521,94193.01053719764,6457.579642542628,107.3544917163838
